#,Event,Date,Venue,Location,Attendance,url,fight_odds_url,fight_odds_url_2
650,UFC 289: Nunes vs. Aldana,2023-06-10,Rogers Arena,"Vancouver, British Columbia, Canada","17,628",https://en.wikipedia.org/wiki/UFC_289,https://www.bestfightodds.com/events/ufc-289-2830,
649,UFC on ESPN: Kara-France vs. Albazi,2023-06-03,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kara-France_vs._Albazi,https://www.bestfightodds.com/events/ufc-fight-night-226-2807,
648,UFC Fight Night: Dern vs. Hill,2023-05-20,[81],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dern_vs._Hill,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-walker-2850,
647,UFC on ABC: Rozenstruik vs. Almeida,2023-05-13,Spectrum Center,"Charlotte, North Carolina, U.S.","18,712",https://en.wikipedia.org/wiki/UFC_on_ABC:_Rozenstruik_vs._Almeida,https://www.bestfightodds.com/events/ufc-fight-night-225-2777,
646,UFC 288: Sterling vs. Cejudo,2023-05-06,Prudential Center,"Newark, New Jersey, U.S.","17,559",https://en.wikipedia.org/wiki/UFC_288,https://www.bestfightodds.com/events/ufc-fight-night-224-2776,
645,UFC on ESPN: Song vs. Simón,2023-04-29,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Song_vs._Sim%C3%B3n,https://www.bestfightodds.com/events/ufc-fight-night-223-2770,
644,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,[85],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Pavlovich_vs._Blaydes,https://www.bestfightodds.com/events/ufc-fight-night-222-2724,
643,UFC on ESPN: Holloway vs. Allen,2023-04-15,T-Mobile Center,"Kansas City, Missouri, U.S.","16,234",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Holloway_vs._Allen,https://www.bestfightodds.com/events/ufc-fight-night-holloway-vs-allen-2796,
642,UFC 287: Pereira vs. Adesanya 2,2023-04-08,Kaseya Center,"Miami, Florida, U.S.","19,032",https://en.wikipedia.org/wiki/UFC_287,https://www.bestfightodds.com/events/ufc-287-2760,
641,UFC on ESPN: Vera vs. Sandhagen,2023-03-25,Frost Bank Center,"San Antonio, Texas, U.S.","16,076",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Vera_vs._Sandhagen,https://www.bestfightodds.com/events/ufc-fight-night-221-2719,
